Task,Category,Priority
Practice chemistry lab report 616,Study,Medium
Attend business lead 833,Work,Medium
Clean wardrobe 749,Personal,Low
Schedule server maintenance 83,Work,Medium
Water gym workout 862,Personal,Medium
Play football with friends 114,Personal,Low
Complete final exam 92,Study,High
Submit sprint plan 754,Work,High
Visit electricity bill 253,Personal,High
Submit team meeting 890,Work,High
Practice psychology notes 179,Study,Medium
Visit dentist appointment 185,Personal,Medium
Buy electricity bill 249,Personal,High
Complete server maintenance 847,Work,Medium
Pay electricity bill 953,Personal,High
Memorize geography project 577,Study,Medium
Complete LinkedIn profile 563,Work,Medium
Complete software feature 325,Work,Medium
Watch geography project 904,Study,Low
Read math assignment 400,Study,Medium
Fix marketing strategy 485,Work,Medium
Research business lead 700,Work,Medium
Watch geography project 246,Study,Low
Organize yoga session 378,Personal,Medium
Schedule code documentation 145,Work,Medium
Read online course 581,Study,Medium
Play favorite podcast 375,Personal,Low
Schedule software feature 872,Work,Medium
Fix client proposal 792,Work,Medium
Wash weekly groceries 273,Personal,Medium
Research team meeting 572,Work,High
Submit chemistry lab report 791,Study,High
Clean yoga session 849,Personal,Low
Go to dancing class 299,Personal,Low
Take notes for geography project 142,Study,Medium
Update client proposal 295,Work,Medium
Exercise wardrobe 578,Personal,Medium
Plan wardrobe 738,Personal,Medium
Clean yoga session 246,Personal,Low
Schedule client proposal 403,Work,Medium
Take notes for geography project 245,Study,Medium
Clean yoga session 583,Personal,Low
Submit online course 64,Study,High
Clean car 921,Personal,Low
Buy weekly groceries 899,Personal,Medium
Solve English vocabulary 809,Study,Medium
Research LinkedIn profile 117,Work,Medium
Research contract for freelancer 512,Work,Medium
Schedule sprint plan 887,Work,Medium
Analyze team meeting 585,Work,High
Submit software feature 87,Work,High
Watch Netflix movie 534,Personal,Low
Solve thesis introduction 14,Study,Medium
Submit English vocabulary 144,Study,High
Update project report 486,Work,Medium
Revise coding challenge 699,Study,Medium
Practice university library books 738,Study,Medium
Memorize English vocabulary 33,Study,Medium
Wash dentist appointment 103,Personal,Medium
Call team meeting 675,Work,High
Practice geography project 280,Study,Medium
Complete math assignment 561,Study,Medium
Visit favorite podcast 196,Personal,Low
Go to electricity bill 493,Personal,High
Call project report 227,Work,Medium
Wash Netflix movie 277,Personal,Low
Analyze business lead 466,Work,Medium
Draft team meeting 444,Work,High
Solve geography project 861,Study,Medium
Email budget sheet 627,Work,Medium
Wash football with friends 11,Personal,Low
Write thesis introduction 713,Study,Medium
Submit sprint plan 523,Work,High
Exercise weekly groceries 629,Personal,Medium
Submit server maintenance 286,Work,High
Prepare history essay 931,Study,Medium
Organize football with friends 897,Personal,Low
Watch Netflix movie 841,Personal,Low
Read history essay 971,Study,Medium
Develop project report 397,Work,Medium
Organize favorite podcast 982,Personal,Low
Water yoga session 571,Personal,Medium
Complete budget sheet 521,Work,Medium
Play football with friends 197,Personal,Low
Clean car 284,Personal,Low
Clean dentist appointment 725,Personal,Low
Memorize math assignment 38,Study,Medium
Research team meeting 422,Work,High
Cook Netflix movie 628,Personal,Low
Practice online course 585,Study,Medium
Cook living room 805,Personal,Medium
Organize gym workout 661,Personal,Medium
Update bug in production 930,Work,High
Watch weekend trip 796,Personal,Low
Watch dancing class 535,Personal,Low
Listen to gym workout 118,Personal,Medium
Research machine learning tutorial 591,Study,Medium
Complete client proposal 825,Work,Medium
Water favorite podcast 81,Personal,Low
Attend budget sheet 40,Work,Medium
Watch math assignment 788,Study,Low
Write math assignment 251,Study,Medium
Watch math assignment 160,Study,Low
Watch thesis introduction 559,Study,Low
Clean weekly groceries 290,Personal,Low
Email business lead 680,Work,Medium
Study chemistry lab report 394,Study,Medium
Water wardrobe 970,Personal,Medium
Review bug in production 849,Work,High
Clean weekly groceries 558,Personal,Low
Watch final exam 819,Study,High
Visit living room 690,Personal,Medium
Wash dentist appointment 827,Personal,Medium
Visit healthy dinner 123,Personal,Medium
Draft business lead 205,Work,Medium
Go to gym workout 249,Personal,Medium
Practice psychology notes 763,Study,Medium
Attend weekly groceries 548,Personal,Medium
Study math assignment 672,Study,Medium
Study online course 311,Study,Medium
Schedule marketing strategy 901,Work,Medium
Schedule client proposal 831,Work,Medium
Research online course 134,Study,Medium
Research project report 696,Work,Medium
Study thesis introduction 805,Study,Medium
Email business lead 126,Work,Medium
Schedule marketing strategy 923,Work,Medium
Call office workstation 486,Work,Medium
Revise online course 976,Study,Medium
Practice thesis introduction 872,Study,Medium
Revise English vocabulary 718,Study,Medium
Attend Netflix movie 563,Personal,Low
Go to football with friends 330,Personal,Low
Watch geography project 534,Study,Low
Attend physics numericals 402,Study,Medium
Develop team meeting 728,Work,High
Play healthy dinner 839,Personal,Medium
Watch weekly groceries 259,Personal,Low
Research thesis introduction 703,Study,Medium
Prepare geography project 348,Study,Medium
Write history essay 8,Study,Medium
Listen to weekend trip 645,Personal,Low
Watch coding challenge 998,Study,Low
Memorize final exam 557,Study,High
Analyze software feature 104,Work,Medium
Watch coding challenge 620,Study,Low
Research client proposal 14,Work,Medium
Submit chemistry lab report 93,Study,High
Call quarterly sales data 382,Work,Medium
Complete final exam 634,Study,High
Analyze code documentation 170,Work,Medium
Plan dancing class 113,Personal,Low
Write chemistry lab report 147,Study,Medium
Coordinate quarterly sales data 1,Work,Medium
Take notes for biology chapter 735,Study,Medium
Study geography project 451,Study,Medium
Present sprint plan 907,Work,Medium
Pay electricity bill 464,Personal,High
Attend final exam 189,Study,High
Develop quarterly sales data 77,Work,Medium
Write geography project 844,Study,Medium
Pay garden plants 679,Personal,Medium
Take notes for online course 298,Study,Medium
Study chemistry lab report 693,Study,Medium
Revise math assignment 612,Study,Medium
Memorize math assignment 137,Study,Medium
Take notes for English vocabulary 598,Study,Medium
Exercise wardrobe 217,Personal,Medium
Plan weekly groceries 19,Personal,Medium
Research budget sheet 968,Work,Medium
Water football with friends 513,Personal,Low
Listen to favorite podcast 639,Personal,Low
Plan garden plants 768,Personal,Medium
Watch healthy dinner 800,Personal,Low
Pay dentist appointment 412,Personal,Medium
Pay Netflix movie 473,Personal,Low
Update project report 634,Work,Medium
Attend Netflix movie 511,Personal,Low
Exercise car 264,Personal,Medium
Research English vocabulary 791,Study,Medium
Watch weekly groceries 49,Personal,Low
Submit business lead 794,Work,High
Go to dentist appointment 512,Personal,Medium
Read psychology notes 196,Study,Medium
Attend machine learning tutorial 96,Study,Medium
Exercise Netflix movie 819,Personal,Low
Present sprint plan 339,Work,Medium
Attend machine learning tutorial 543,Study,Medium
Take notes for history essay 24,Study,Medium
Clean electricity bill 580,Personal,High
Attend weekend trip 1000,Personal,Low
Memorize English vocabulary 668,Study,Medium
Coordinate LinkedIn profile 786,Work,Medium
Attend English vocabulary 21,Study,Medium
Practice geography project 550,Study,Medium
Update business lead 502,Work,Medium
Revise psychology notes 732,Study,Medium
Watch weekend trip 649,Personal,Low
Water Netflix movie 929,Personal,Low
Go to healthy dinner 851,Personal,Medium
Exercise car 779,Personal,Medium
Visit football with friends 375,Personal,Low
Solve chemistry lab report 481,Study,Medium
Visit weekend trip 464,Personal,Low
Research budget sheet 312,Work,Medium
Cook weekly groceries 516,Personal,Medium
Attend weekly groceries 769,Personal,Medium
Update code documentation 500,Work,Medium
Attend biology chapter 611,Study,Medium
Clean yoga session 868,Personal,Low
Watch coding challenge 392,Study,Low
Fix server maintenance 357,Work,Medium
Organize software feature 678,Work,Medium
Revise psychology notes 168,Study,Medium
Analyze quarterly sales data 262,Work,Medium
Email marketing strategy 503,Work,Medium
Practice biology chapter 941,Study,Medium
Read physics numericals 264,Study,Medium
Watch psychology notes 494,Study,Low
Analyze LinkedIn profile 316,Work,Medium
Cook dancing class 584,Personal,Low
Analyze code documentation 965,Work,Medium
Exercise gym workout 684,Personal,Medium
Visit car 582,Personal,Medium
Memorize final exam 614,Study,High
Read final exam 876,Study,High
Memorize physics numericals 107,Study,Medium
Complete quarterly sales data 849,Work,Medium
Exercise living room 959,Personal,Medium
Exercise weekly groceries 711,Personal,Medium
Pay car 64,Personal,Medium
Study online course 509,Study,Medium
Review contract for freelancer 246,Work,Medium
Research project report 358,Work,Medium
Organize client proposal 307,Work,Medium
Exercise dancing class 955,Personal,Low
Complete university library books 715,Study,Medium
Buy garden plants 194,Personal,Medium
Complete contract for freelancer 117,Work,Medium
Attend final exam 66,Study,High
Solve university library books 100,Study,Medium
Research project report 98,Work,Medium
Draft client proposal 921,Work,Medium
Draft quarterly sales data 516,Work,Medium
Go to Netflix movie 304,Personal,Low
Take notes for chemistry lab report 876,Study,Medium
Study university library books 920,Study,Medium
Coordinate server maintenance 407,Work,Medium
Plan garden plants 13,Personal,Medium
Clean electricity bill 676,Personal,High
Listen to favorite podcast 216,Personal,Low
Solve coding challenge 104,Study,Medium
Visit dentist appointment 22,Personal,Medium
Practice final exam 957,Study,High
Attend Netflix movie 413,Personal,Low
Fix marketing strategy 904,Work,Medium
Wash yoga session 826,Personal,Medium
Take notes for chemistry lab report 315,Study,Medium
Review code documentation 37,Work,Medium
Attend history essay 877,Study,Medium
Present server maintenance 366,Work,Medium
Revise chemistry lab report 488,Study,Medium
Attend university library books 256,Study,Medium
Wash electricity bill 140,Personal,High
Coordinate server maintenance 319,Work,Medium
Pay gym workout 341,Personal,Medium
Study physics numericals 602,Study,Medium
Research final exam 136,Study,High
Fix quarterly sales data 648,Work,Medium
Develop office workstation 854,Work,Medium
Submit code documentation 458,Work,High
Study thesis introduction 443,Study,Medium
Listen to electricity bill 604,Personal,High
Call software feature 778,Work,Medium
Visit wardrobe 195,Personal,Medium
Research server maintenance 799,Work,Medium
Write coding challenge 440,Study,Medium
Buy garden plants 219,Personal,Medium
Plan electricity bill 712,Personal,High
Fix team meeting 965,Work,High
Attend contract for freelancer 950,Work,Medium
Organize living room 871,Personal,Medium
Go to weekend trip 793,Personal,Low
Draft business lead 824,Work,Medium
Practice university library books 785,Study,Medium
Pay living room 144,Personal,Medium
Schedule marketing strategy 845,Work,Medium
Review contract for freelancer 721,Work,Medium
Develop server maintenance 163,Work,Medium
Pay weekly groceries 890,Personal,Medium
Solve history essay 434,Study,Medium
Email bug in production 330,Work,High
Research project report 406,Work,Medium
Read biology chapter 491,Study,Medium
Update budget sheet 826,Work,Medium
Submit physics numericals 185,Study,High
Play weekend trip 337,Personal,Low
Present bug in production 29,Work,High
Visit living room 619,Personal,Medium
Draft client proposal 810,Work,Medium
Plan dancing class 124,Personal,Low
Draft bug in production 944,Work,High
Complete university library books 398,Study,Medium
Review marketing strategy 356,Work,Medium
Prepare English vocabulary 619,Study,Medium
Submit history essay 230,Study,High
Solve coding challenge 977,Study,Medium
Memorize chemistry lab report 804,Study,Medium
Plan living room 740,Personal,Medium
Complete physics numericals 439,Study,Medium
Wash weekly groceries 503,Personal,Medium
Submit history essay 323,Study,High
Update office workstation 867,Work,Medium
Practice chemistry lab report 360,Study,Medium
Organize team meeting 11,Work,High
Listen to weekly groceries 239,Personal,Medium
Attend math assignment 383,Study,Medium
Submit online course 696,Study,High
Develop team meeting 285,Work,High
Revise thesis introduction 556,Study,Medium
Wash car 791,Personal,Medium
Attend living room 290,Personal,Medium
Research sprint plan 201,Work,Medium
Pay weekend trip 313,Personal,Low
Plan wardrobe 913,Personal,Medium
Coordinate team meeting 779,Work,High
Buy dancing class 135,Personal,Low
Research machine learning tutorial 283,Study,Medium
Take notes for chemistry lab report 570,Study,Medium
Cook weekend trip 161,Personal,Low
Visit electricity bill 380,Personal,High
Call budget sheet 704,Work,Medium
Practice coding challenge 729,Study,Medium
Take notes for chemistry lab report 332,Study,Medium
Submit thesis introduction 198,Study,High
Buy healthy dinner 508,Personal,Medium
Revise history essay 92,Study,Medium
Develop LinkedIn profile 972,Work,Medium
Prepare English vocabulary 31,Study,Medium
Buy wardrobe 292,Personal,Medium
Pay dancing class 530,Personal,Low
Wash living room 501,Personal,Medium
Watch football with friends 742,Personal,Low
Present business lead 478,Work,Medium
Clean car 592,Personal,Low
Review sprint plan 420,Work,Medium
Schedule marketing strategy 709,Work,Medium
Listen to favorite podcast 71,Personal,Low
Plan weekly groceries 908,Personal,Medium
Organize Netflix movie 504,Personal,Low
Listen to healthy dinner 483,Personal,Medium
Submit project report 293,Work,High
Go to football with friends 965,Personal,Low
Submit office workstation 204,Work,High
Present team meeting 919,Work,High
Exercise weekend trip 684,Personal,Low
Update bug in production 211,Work,High
Plan garden plants 247,Personal,Medium
Write psychology notes 995,Study,Medium
Take notes for chemistry lab report 325,Study,Medium
Take notes for physics numericals 288,Study,Medium
Coordinate quarterly sales data 743,Work,Medium
Exercise yoga session 273,Personal,Medium
Solve university library books 600,Study,Medium
Solve English vocabulary 221,Study,Medium
Memorize geography project 408,Study,Medium
Practice physics numericals 563,Study,Medium
Research history essay 188,Study,Medium
Analyze server maintenance 397,Work,Medium
Study psychology notes 18,Study,Medium
Take notes for English vocabulary 80,Study,Medium
Research server maintenance 975,Work,Medium
Analyze office workstation 420,Work,Medium
Analyze office workstation 275,Work,Medium
Revise coding challenge 177,Study,Medium
Coordinate team meeting 506,Work,High
Memorize history essay 738,Study,Medium
Go to weekly groceries 934,Personal,Medium
Cook healthy dinner 357,Personal,Medium
Attend football with friends 313,Personal,Low
Water football with friends 184,Personal,Low
Play healthy dinner 785,Personal,Medium
Complete project report 889,Work,Medium
Study machine learning tutorial 694,Study,Medium
Complete chemistry lab report 516,Study,Medium
Prepare geography project 511,Study,Medium
Watch history essay 990,Study,Low
Draft office workstation 207,Work,Medium
Complete business lead 164,Work,Medium
Submit project report 220,Work,High
Clean yoga session 523,Personal,Low
Visit football with friends 27,Personal,Low
Revise university library books 717,Study,Medium
Research psychology notes 362,Study,Medium
Develop code documentation 484,Work,Medium
Practice geography project 855,Study,Medium
Attend psychology notes 969,Study,Medium
Clean living room 482,Personal,Low
Organize marketing strategy 103,Work,Medium
Exercise weekend trip 663,Personal,Low
Study final exam 502,Study,High
Schedule LinkedIn profile 419,Work,Medium
Plan yoga session 15,Personal,Medium
Research online course 447,Study,Medium
Prepare coding challenge 681,Study,Medium
Submit code documentation 412,Work,High
Read university library books 807,Study,Medium
Solve coding challenge 72,Study,Medium
Water weekend trip 641,Personal,Low
Watch biology chapter 586,Study,Low
Develop project report 897,Work,Medium
Clean electricity bill 842,Personal,High
Attend thesis introduction 127,Study,Medium
Pay car 331,Personal,Medium
Prepare machine learning tutorial 86,Study,Medium
Schedule quarterly sales data 351,Work,Medium
Research office workstation 844,Work,Medium
Prepare thesis introduction 151,Study,Medium
Analyze code documentation 904,Work,Medium
Write thesis introduction 895,Study,Medium
Watch car 851,Personal,Low
Plan Netflix movie 691,Personal,Low
Schedule budget sheet 420,Work,Medium
Write university library books 420,Study,Medium
Coordinate server maintenance 937,Work,Medium
Organize yoga session 191,Personal,Medium
Water Netflix movie 789,Personal,Low
Go to electricity bill 222,Personal,High
Research server maintenance 502,Work,Medium
Plan dancing class 730,Personal,Low
Take notes for psychology notes 425,Study,Medium
Take notes for online course 899,Study,Medium
Water dentist appointment 660,Personal,Medium
Water yoga session 127,Personal,Medium
Visit wardrobe 374,Personal,Medium
Cook healthy dinner 979,Personal,Medium
Practice coding challenge 322,Study,Medium
Plan garden plants 339,Personal,Medium
Clean weekly groceries 901,Personal,Low
Present marketing strategy 707,Work,Medium
Complete machine learning tutorial 282,Study,Medium
Organize marketing strategy 71,Work,Medium
Attend dentist appointment 737,Personal,Medium
Study geography project 308,Study,Medium
Prepare online course 512,Study,Medium
Attend Netflix movie 450,Personal,Low
Pay football with friends 948,Personal,Low
Draft office workstation 377,Work,Medium
Attend chemistry lab report 509,Study,Medium
Watch dancing class 995,Personal,Low
Study geography project 7,Study,Medium
Memorize psychology notes 409,Study,Medium
Revise machine learning tutorial 602,Study,Medium
Memorize physics numericals 482,Study,Medium
Review contract for freelancer 94,Work,Medium
Call project report 948,Work,Medium
Research biology chapter 373,Study,Medium
Visit gym workout 508,Personal,Medium
Organize healthy dinner 956,Personal,Medium
Attend chemistry lab report 105,Study,Medium
Call software feature 732,Work,Medium
Watch electricity bill 992,Personal,High
Take notes for biology chapter 606,Study,Medium
Present marketing strategy 698,Work,Medium
Attend dentist appointment 443,Personal,Medium
Develop sprint plan 10,Work,Medium
Present server maintenance 65,Work,Medium
Buy yoga session 62,Personal,Medium
Complete psychology notes 63,Study,Medium
Organize dentist appointment 91,Personal,Medium
Pay healthy dinner 927,Personal,Medium
Watch living room 427,Personal,Low
Pay dentist appointment 27,Personal,Medium
Email quarterly sales data 428,Work,Medium
Water dentist appointment 439,Personal,Medium
Revise chemistry lab report 545,Study,Medium
Write geography project 266,Study,Medium
Exercise healthy dinner 693,Personal,Medium
Visit dentist appointment 44,Personal,Medium
Play dancing class 862,Personal,Low
Call quarterly sales data 220,Work,Medium
Exercise garden plants 887,Personal,Medium
Prepare online course 463,Study,Medium
Research coding challenge 59,Study,Medium
Research coding challenge 208,Study,Medium
Solve history essay 782,Study,Medium
Organize team meeting 274,Work,High
Develop team meeting 638,Work,High
Go to Netflix movie 268,Personal,Low
Attend dentist appointment 485,Personal,Medium
Fix business lead 722,Work,Medium
Attend physics numericals 191,Study,Medium
Submit client proposal 848,Work,High
Attend dentist appointment 62,Personal,Medium
Attend weekend trip 811,Personal,Low
Draft office workstation 818,Work,Medium
Schedule budget sheet 635,Work,Medium
Solve online course 286,Study,Medium
Take notes for coding challenge 807,Study,Medium
Call software feature 132,Work,Medium
Research online course 983,Study,Medium
Watch weekend trip 808,Personal,Low
Research biology chapter 90,Study,Medium
Visit weekly groceries 177,Personal,Medium
Wash wardrobe 693,Personal,Medium
Practice biology chapter 100,Study,Medium
Research software feature 237,Work,Medium
Present office workstation 502,Work,Medium
Plan football with friends 365,Personal,Low
Watch gym workout 386,Personal,Low
Clean gym workout 87,Personal,Low
Wash dancing class 408,Personal,Low
Organize team meeting 942,Work,High
Prepare math assignment 567,Study,Medium
Complete business lead 706,Work,Medium
Analyze office workstation 985,Work,Medium
Complete client proposal 990,Work,Medium
Cook Netflix movie 526,Personal,Low
Listen to garden plants 61,Personal,Medium
Buy weekend trip 310,Personal,Low
Watch machine learning tutorial 118,Study,Low
Memorize physics numericals 375,Study,Medium
Schedule bug in production 830,Work,High
Watch psychology notes 720,Study,Low
Coordinate code documentation 203,Work,Medium
Read final exam 427,Study,High
Watch car 358,Personal,Low
Prepare physics numericals 138,Study,Medium
Analyze office workstation 942,Work,Medium
Solve English vocabulary 430,Study,Medium
Develop marketing strategy 539,Work,Medium
Coordinate quarterly sales data 285,Work,Medium
Attend history essay 953,Study,Medium
Schedule marketing strategy 5,Work,Medium
Play car 621,Personal,Medium
Plan electricity bill 179,Personal,High
Email office workstation 456,Work,Medium
Schedule team meeting 993,Work,High
Write coding challenge 391,Study,Medium
Water football with friends 415,Personal,Low
Watch final exam 124,Study,High
Write university library books 632,Study,Medium
Wash car 177,Personal,Medium
Update code documentation 524,Work,Medium
Research sprint plan 448,Work,Medium
Revise chemistry lab report 856,Study,Medium
Write online course 852,Study,Medium
Update budget sheet 200,Work,Medium
Organize yoga session 918,Personal,Medium
Plan garden plants 357,Personal,Medium
Attend physics numericals 997,Study,Medium
Organize LinkedIn profile 417,Work,Medium
Clean dentist appointment 252,Personal,Low
Memorize math assignment 516,Study,Medium
Buy yoga session 409,Personal,Medium
Wash gym workout 604,Personal,Medium
Take notes for geography project 174,Study,Medium
Listen to weekly groceries 421,Personal,Medium
Wash favorite podcast 337,Personal,Low
Submit machine learning tutorial 562,Study,High
Wash living room 705,Personal,Medium
Research LinkedIn profile 845,Work,Medium
Play dancing class 153,Personal,Low
Research office workstation 83,Work,Medium
Watch dancing class 839,Personal,Low
Attend software feature 847,Work,Medium
Visit weekend trip 172,Personal,Low
Draft marketing strategy 49,Work,Medium
Coordinate business lead 741,Work,Medium
Water yoga session 833,Personal,Medium
Memorize final exam 443,Study,High
Cook gym workout 762,Personal,Medium
Watch coding challenge 344,Study,Low
Read online course 979,Study,Medium
Memorize English vocabulary 631,Study,Medium
Watch thesis introduction 159,Study,Low
Call budget sheet 124,Work,Medium
Buy car 729,Personal,Medium
Draft client proposal 249,Work,Medium
Cook healthy dinner 217,Personal,Medium
Exercise football with friends 855,Personal,Low
Watch yoga session 492,Personal,Low
Complete client proposal 202,Work,Medium
Study chemistry lab report 338,Study,Medium
Attend thesis introduction 492,Study,Medium
Call team meeting 488,Work,High
Update project report 286,Work,Medium
Email software feature 35,Work,Medium
Submit business lead 784,Work,High
Organize weekly groceries 512,Personal,Medium
Draft code documentation 124,Work,Medium
Call LinkedIn profile 618,Work,Medium
Analyze quarterly sales data 295,Work,Medium
Attend dentist appointment 866,Personal,Medium
Attend living room 728,Personal,Medium
Prepare psychology notes 633,Study,Medium
Attend bug in production 877,Work,High
Write online course 236,Study,Medium
Submit physics numericals 880,Study,High
Watch English vocabulary 726,Study,Low
Attend chemistry lab report 567,Study,Medium
Wash Netflix movie 80,Personal,Low
Attend thesis introduction 515,Study,Medium
Study online course 933,Study,Medium
Visit car 374,Personal,Medium
Prepare chemistry lab report 851,Study,Medium
Go to healthy dinner 69,Personal,Medium
Call quarterly sales data 263,Work,Medium
Study geography project 689,Study,Medium
Update marketing strategy 787,Work,Medium
Memorize chemistry lab report 874,Study,Medium
Schedule business lead 548,Work,Medium
Coordinate server maintenance 173,Work,Medium
Complete server maintenance 525,Work,Medium
Solve thesis introduction 575,Study,Medium
Wash living room 209,Personal,Medium
Exercise garden plants 55,Personal,Medium
Cook dancing class 998,Personal,Low
Clean weekend trip 61,Personal,Low
Organize team meeting 724,Work,High
Complete server maintenance 522,Work,Medium
Write biology chapter 939,Study,Medium
Listen to Netflix movie 158,Personal,Low
Listen to Netflix movie 345,Personal,Low
Play dancing class 991,Personal,Low
Play car 186,Personal,Medium
Play football with friends 27,Personal,Low
Watch university library books 645,Study,Low
Attend sprint plan 570,Work,Medium
Research business lead 340,Work,Medium
Email project report 958,Work,Medium
Clean garden plants 159,Personal,Low
Analyze office workstation 317,Work,Medium
Attend quarterly sales data 300,Work,Medium
Water wardrobe 288,Personal,Medium
Complete software feature 143,Work,Medium
Study physics numericals 275,Study,Medium
Write thesis introduction 557,Study,Medium
Go to yoga session 519,Personal,Medium
Submit chemistry lab report 491,Study,High
Research server maintenance 325,Work,Medium
Organize office workstation 998,Work,Medium
Update business lead 830,Work,Medium
Prepare machine learning tutorial 655,Study,Medium
Revise machine learning tutorial 494,Study,Medium
Develop LinkedIn profile 743,Work,Medium
Prepare math assignment 867,Study,Medium
Complete geography project 761,Study,Medium
Listen to dancing class 640,Personal,Low
Submit history essay 521,Study,High
Draft server maintenance 459,Work,Medium
Submit LinkedIn profile 913,Work,High
Attend geography project 716,Study,Medium
Pay wardrobe 358,Personal,Medium
Go to gym workout 578,Personal,Medium
Attend biology chapter 22,Study,Medium
Prepare physics numericals 596,Study,Medium
Attend office workstation 300,Work,Medium
Prepare coding challenge 930,Study,Medium
Play yoga session 831,Personal,Medium
Complete psychology notes 934,Study,Medium
Attend university library books 910,Study,Medium
Research LinkedIn profile 68,Work,Medium
Pay car 186,Personal,Medium
Analyze sprint plan 148,Work,Medium
Read biology chapter 697,Study,Medium
Read thesis introduction 332,Study,Medium
Water dancing class 491,Personal,Low
Schedule marketing strategy 221,Work,Medium
Present project report 162,Work,Medium
Revise psychology notes 257,Study,Medium
Go to gym workout 809,Personal,Medium
Organize project report 683,Work,Medium
Exercise dancing class 309,Personal,Low
Solve online course 810,Study,Medium
Attend history essay 347,Study,Medium
Clean dancing class 676,Personal,Low
Attend budget sheet 20,Work,Medium
Analyze marketing strategy 454,Work,Medium
Attend English vocabulary 678,Study,Medium
Prepare chemistry lab report 409,Study,Medium
Play healthy dinner 583,Personal,Medium
Submit business lead 51,Work,High
Complete history essay 40,Study,Medium
Play dancing class 1,Personal,Low
Fix LinkedIn profile 631,Work,Medium
Analyze client proposal 371,Work,Medium
Clean football with friends 249,Personal,Low
Prepare machine learning tutorial 635,Study,Medium
Buy football with friends 363,Personal,Low
Revise online course 131,Study,Medium
Pay weekend trip 742,Personal,Low
Update business lead 502,Work,Medium
Wash football with friends 777,Personal,Low
Review business lead 418,Work,Medium
Attend sprint plan 279,Work,Medium
Email server maintenance 562,Work,Medium
Attend business lead 830,Work,Medium
Submit software feature 775,Work,High
Clean football with friends 592,Personal,Low
Cook car 751,Personal,Medium
Memorize online course 322,Study,Medium
Review LinkedIn profile 949,Work,Medium
Pay football with friends 840,Personal,Low
Research geography project 742,Study,Medium
Analyze sprint plan 846,Work,Medium
Analyze project report 479,Work,Medium
Submit machine learning tutorial 370,Study,High
Organize server maintenance 217,Work,Medium
Prepare biology chapter 962,Study,Medium
Pay wardrobe 687,Personal,Medium
Solve physics numericals 837,Study,Medium
Plan dancing class 902,Personal,Low
Schedule LinkedIn profile 715,Work,Medium
Call server maintenance 230,Work,Medium
Complete marketing strategy 397,Work,Medium
Water yoga session 188,Personal,Medium
Wash electricity bill 963,Personal,High
Read chemistry lab report 309,Study,Medium
Go to wardrobe 607,Personal,Medium
Analyze team meeting 576,Work,High
Email team meeting 730,Work,High
Fix budget sheet 298,Work,Medium
Wash favorite podcast 745,Personal,Low
Attend psychology notes 855,Study,Medium
Write university library books 859,Study,Medium
Organize car 581,Personal,Medium
Go to dancing class 177,Personal,Low
Research project report 477,Work,Medium
Water gym workout 782,Personal,Medium
Watch garden plants 17,Personal,Low
Organize sprint plan 403,Work,Medium
Listen to car 113,Personal,Medium
Play garden plants 417,Personal,Medium
Complete sprint plan 165,Work,Medium
Review code documentation 786,Work,Medium
Review sprint plan 796,Work,Medium
Clean healthy dinner 4,Personal,Low
Call bug in production 357,Work,High
Plan favorite podcast 154,Personal,Low
Email bug in production 275,Work,High
Email client proposal 360,Work,Medium
Submit biology chapter 18,Study,High
Exercise weekend trip 690,Personal,Low
Organize living room 818,Personal,Medium
Prepare machine learning tutorial 714,Study,Medium
Coordinate quarterly sales data 851,Work,Medium
Plan dancing class 233,Personal,Low
Take notes for chemistry lab report 28,Study,Medium
Research budget sheet 574,Work,Medium
Cook wardrobe 72,Personal,Medium
Listen to car 296,Personal,Medium
Cook yoga session 684,Personal,Medium
Research machine learning tutorial 392,Study,Medium
Submit machine learning tutorial 73,Study,High
Water weekend trip 345,Personal,Low
Study final exam 268,Study,High
Listen to electricity bill 221,Personal,High
Submit chemistry lab report 418,Study,High
Attend chemistry lab report 653,Study,Medium
Pay car 384,Personal,Medium
Listen to garden plants 315,Personal,Medium
Schedule team meeting 97,Work,High
Schedule business lead 653,Work,Medium
Present marketing strategy 453,Work,Medium
Attend garden plants 72,Personal,Medium
Schedule project report 358,Work,Medium
Take notes for math assignment 30,Study,Medium
Watch geography project 544,Study,Low
Read online course 666,Study,Medium
Attend server maintenance 682,Work,Medium
Write math assignment 719,Study,Medium
Go to yoga session 795,Personal,Medium
Present server maintenance 261,Work,Medium
Research quarterly sales data 184,Work,Medium
Submit software feature 308,Work,High
Review marketing strategy 259,Work,Medium
Submit history essay 467,Study,High
Visit electricity bill 495,Personal,High
Write geography project 768,Study,Medium
Watch biology chapter 347,Study,Low
Watch final exam 986,Study,High
Develop team meeting 959,Work,High
Present bug in production 362,Work,High
Clean Netflix movie 530,Personal,Low
Pay car 845,Personal,Medium
Prepare geography project 460,Study,Medium
Prepare coding challenge 384,Study,Medium
Prepare geography project 579,Study,Medium
Present sprint plan 241,Work,Medium
Coordinate project report 812,Work,Medium
Play yoga session 748,Personal,Medium
Read psychology notes 775,Study,Medium
Clean yoga session 251,Personal,Low
Research budget sheet 60,Work,Medium
Complete geography project 810,Study,Medium
Watch final exam 562,Study,High
Review office workstation 796,Work,Medium
Complete machine learning tutorial 799,Study,Medium
Update office workstation 259,Work,Medium
Plan dancing class 874,Personal,Low
